Column1,#,Country,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg,world_population.Rank,CCA3,world_population.Country,world_population.Capital,world_population.Continent,world_population.2022 Population
132,133,Afghanistan,78,1,1.28,1650,0,0,5,0,0,0,40,36,AFG,Afghanistan,Kabul,Asia,41128771
105,106,Albania,234,17,7.26,1751,1,7,6,0,0,3,43,138,ALB,Albania,Tirana,Europe,2842321
72,73,Algeria,633,104,16.43,1591,3,12,13,0,12,8,31,34,DZA,Algeria,Algiers,Africa,44903225
136,137,Andorra,67,7,10.45,1701,2,2,4,0,0,0,39,203,AND,Andorra,Andorra la Vella,Europe,79824
85,86,Angola,371,48,12.94,1636,0,10,9,0,2,3,30,42,AGO,Angola,Luanda,Africa,35588987
18,19,Argentina,4277,210,4.91,1627,22,76,128,1,13,16,39,33,ARG,Argentina,Buenos Aires,South America,45510318
48,49,Armenia,1191,181,15.2,1699,41,27,33,4,10,6,26,140,ARM,Armenia,Yerevan,Asia,2780469
140,141,Aruba,48,12,25,1647,0,1,1,0,0,1,33,198,ABW,Aruba,Oranjestad,North America,106445
37,38,Australia,2141,189,8.83,1647,10,26,58,3,10,19,39,55,AUS,Australia,Canberra,Oceania,26177413
22,23,Austria,3787,211,5.57,1793,9,58,143,1,3,15,50,99,AUT,Austria,Vienna,Europe,8939617
39,40,Azerbaijan,1876,355,18.92,1497,25,32,36,12,6,18,24,91,AZE,Azerbaijan,Baku,Asia,10358074
150,151,Bahamas,38,6,15.79,1562,0,0,1,0,0,0,43,176,BHS,Bahamas,Nassau,North America,409984
49,50,Bangladesh,1190,100,8.4,1660,5,3,12,0,3,5,35,8,BGD,Bangladesh,Dhaka,Asia,171186372
120,121,Barbados,143,26,18.18,1573,0,4,5,0,0,1,31,186,BRB,Barbados,Bridgetown,North America,281635
55,56,Belarus,992,186,18.75,1645,17,26,34,4,5,26,30,96,BLR,Belarus,Minsk,Europe,9534954
27,28,Belgium,3252,170,5.23,1666,9,27,65,0,1,6,44,81,BEL,Belgium,Brussels,Europe,11655930
133,134,Bermuda,72,3,4.17,1447,0,0,1,0,0,1,46,206,BMU,Bermuda,Hamilton,North America,64184
182,183,Bhutan,7,0,0,1438,0,0,0,0,0,0,32,165,BTN,Bhutan,Thimphu,Asia,782455
53,54,Bolivia,1051,225,21.41,1397,1,2,12,0,3,4,23,80,BOL,Bolivia,Sucre,South America,12224110
57,58,Bosnia and Herzegovina,926,78,8.42,1878,8,19,63,1,1,5,46,137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,3233526
87,88,Botswana,360,93,25.83,1524,0,1,5,1,4,4,23,144,BWA,Botswana,Gaborone,Africa,2630296
13,14,Brazil,5367,625,11.65,1667,14,31,108,0,9,11,37,7,BRA,Brazil,Brasilia,South America,215313498
186,187,British Virgin Islands,4,0,0,1749,0,0,0,0,0,0,54,221,VGB,British Virgin Islands,Road Town,North America,31305
147,148,Brunei,40,3,7.5,1709,0,0,5,0,0,0,33,175,BRN,Brunei,Bandar Seri Begawan,Asia,449002
154,155,Brunei,32,2,6.25,1731,0,0,2,0,0,1,38,175,BRN,Brunei,Bandar Seri Begawan,Asia,449002
41,42,Bulgaria,1843,260,14.11,1681,32,54,31,4,12,10,39,108,BGR,Bulgaria,Sofia,Europe,6781953
167,168,Burkina Faso,15,0,0,1475,0,0,0,0,0,0,50,58,BFA,Burkina Faso,Ouagadougou,Africa,22673762
173,174,Burundi,12,0,0,1726,0,0,1,0,0,0,34,78,BDI,Burundi,Bujumbura,Africa,12889576
189,190,Cambodia,2,0,0,2250,0,0,1,0,0,0,59,73,KHM,Cambodia,Phnom Penh,Asia,16767842
166,167,Cameroon,16,2,12.5,1757,0,1,2,0,0,0,40,53,CMR,Cameroon,Yaounde,Africa,27914536
