short_opening_name,opening_name,winner,opening_eco,num_games,white_rating,black_rating,turns
Slav Defense,Slav Defense: Exchange Variation,white,D10,6,1568,1363,56
Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation,black,B00,2,1329,1336,27
King's Pawn Game,King's Pawn Game: Leonardis Variation,white,C20,67,1370,1320,63
Queen's Pawn Game,Queen's Pawn Game: Zukertort Variation,white,D02,63,1681,1573,59
Philidor Defense,Philidor Defense,white,C41,84,1566,1427,63
Sicilian Defense,Sicilian Defense: Mongoose Variation,draw,B27,1,1250,1002,5
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Pietrowsky Defense,white,D00,2,1490,1360,39
Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,black,B00,17,1557,1608,74
Italian Game,Italian Game: Schilling-Kostic Gambit,black,C50,25,1444,1513,40
Scandinavian Defense,Scandinavian Defense: Mieses-Kotroc Variation,white,B01,164,1594,1439,59
Van't Kruijs Opening,Van't Kruijs Opening,white,A00,126,1403,1321,44
French Defense,French Defense: Advance Variation |  Paulsen Attack,black,C02,24,1733,1828,65
French Defense,French Defense: Knight Variation,black,C00,121,1524,1615,58
French Defense #2,French Defense #2,black,C00,53,1477,1559,57
Four Knights Game,Four Knights Game: Italian Variation,white,C50,31,1455,1402,58
Italian Game,Italian Game: Two Knights Defense |  Knight Attack,black,C57,2,1196,1168,44
Four Knights Game,Four Knights Game: Italian Variation,black,C50,42,1421,1530,61
Philidor Defense #3,Philidor Defense #3,black,C41,67,1450,1506,57
Queen's Pawn Game,Queen's Pawn Game,white,D00,53,1531,1453,55
Italian Game,Italian Game: Anti-Fried Liver Defense,black,C55,73,1487,1547,60
Horwitz Defense,Horwitz Defense,white,A40,110,1625,1510,54
Sicilian Defense,Sicilian Defense: Bowdler Attack,white,B20,119,1573,1530,60
English Opening,English Opening: King's English Variation |  Reversed Closed Sicilian,white,A25,15,1525,1476,58
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,black,B21,49,1459,1609,65
Queen's Pawn Game,Queen's Pawn Game: Chigorin Variation,white,D01,21,1462,1506,60
Scotch Game,Scotch Game: Haxo Gambit,white,C45,8,1889,1586,48
Queen's Pawn Game,Queen's Pawn Game: Chigorin Variation,black,D01,44,1439,1618,52
Slav Defense,Slav Defense,black,D10,18,1562,1645,55
Queen's Gambit Refused,Queen's Gambit Refused: Marshall Defense,black,D06,41,1543,1570,58
Sicilian Defense,Sicilian Defense: Canal Attack |  Main Line,black,B52,17,1591,1640,59
Sicilian Defense,Sicilian Defense,white,B27,11,1547,1449,53
Queen's Gambit Accepted,Queen's Gambit Accepted: Central Variation |  Greco Variation,black,D20,8,1289,1452,48
Robatsch (Modern) Defense,Robatsch (Modern) Defense,black,B06,17,1574,1712,58
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Tartakower Variation,white,D00,1,1569,978,28
Indian Game,Indian Game,black,A45,100,1635,1812,70
Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,white,B77,3,1961,1293,37
English Opening,English Opening: King's English Variation |  Reversed Sicilian,white,A21,27,1638,1517,67
Sicilian Defense,Sicilian Defense: Dragon Variation,draw,B70,1,1207,978,32
Sicilian Defense,Sicilian Defense: Closed Variation,black,B23,31,1482,1590,62
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,white,B21,53,1508,1452,57
Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,white,B76,2,2224,1528,48
Scandinavian Defense,Scandinavian Defense,black,B01,123,1370,1496,49
French Defense,French Defense: Normal Variation,black,C00,49,1494,1490,57
King's Pawn Game,King's Pawn Game: Beyer Gambit,white,C21,12,1417,1345,52
Dutch Defense,Dutch Defense,white,A80,20,1653,1598,65
English Opening,English Opening: King's English Variation,black,A20,39,1525,1623,60
Zukertort Opening,Zukertort Opening: Ross Gambit,white,A04,13,1486,1329,26
Sicilian Defense,Sicilian Defense: Closed Variation,white,B23,33,1515,1469,50
Vienna Game,Vienna Game: Mengarini Variation,white,C26,2,1500,1453,60
Philidor Defense,Philidor Defense: Larsen Variation,black,C41,1,1414,1442,30
Scotch Game,Scotch Game,black,C44,52,1484,1438,53
Philidor Defense,Philidor Defense: Lopez Countergambit,white,C41,3,1577,1408,32
Modern Defense,Modern Defense,white,A40,38,1722,1585,56
Horwitz Defense,Horwitz Defense,black,A40,94,1521,1586,63
Blumenfeld Countergambit #2,Blumenfeld Countergambit #2,white,E10,5,2061,1893,60
Zukertort Opening,Zukertort Opening: Kingside Fianchetto,white,A04,10,1596,1565,67
Indian Game,Indian Game,white,A45,69,1711,1614,58
French Defense,French Defense: Queen's Knight,black,C00,22,1407,1517,62
Queen's Pawn Game,Queen's Pawn Game: Mason Attack,white,D00,116,1633,1538,62
Queen's Pawn Game,Queen's Pawn Game: Mason Attack,black,D00,103,1635,1661,69
Queen's Pawn,Queen's Pawn,black,A41,14,1608,1612,84
French Defense,French Defense: Advance |  Steinitz Variation,black,C02,7,1520,1599,70
French Defense,French Defense: Exchange Variation,white,C01,58,1749,1655,65
Queen's Pawn Game,Queen's Pawn Game: London System,white,D02,35,1719,1611,57
French Defense,French Defense: Chigorin Variation,white,C00,6,1911,1752,65
Queen's Pawn Game,Queen's Pawn Game: London System,black,D02,42,1738,1835,70
French Defense,French Defense: La Bourdonnais Variation,black,C00,19,1576,1585,63
English Opening,English Opening: Anglo-Lithuanian Variation,white,A10,9,1522,1492,58
Crab Opening,Crab Opening,black,A00,8,1267,1427,30
Queen's Pawn,Queen's Pawn,white,A40,58,1701,1510,57
French Defense,French Defense: Winawer Variation |  Advance Variation #2,white,C18,3,1764,1666,72
French Defense,French Defense: Queen's Knight,white,C00,16,1477,1497,48
Queen's Pawn Game,Queen's Pawn Game: Steinitz Countergambit,white,D00,10,1688,1514,60
Queen's Indian Defense,Queen's Indian Defense,black,A47,3,1626,1689,119
Italian Game,Italian Game: Giuoco Pianissimo |  Normal,white,C50,27,1567,1509,44
