turns,winner,white_rating,black_rating
226,draw,1817,1907
222,draw,1851,1853
210,black,1600,1571
209,white,1859,1585
208,draw,1465,1449
207,draw,1371,1223
205,white,1617,1704
200,black,1910,1827
198,black,1246,1340
196,black,1401,1536
195,draw,1496,1703
190,draw,1290,1295
190,draw,1818,1849
189,white,2206,1723
189,draw,1500,1812
188,black,1478,1668
187,draw,1829,1874
185,draw,2070,2018
182,black,1746,2108
182,black,1787,2020
180,black,2228,2193
179,draw,1814,2122
178,draw,1872,1876
175,white,1767,1816
175,white,1773,1613
174,black,1528,1564
174,draw,1344,1368
173,draw,1954,1859
173,white,1827,1941
173,draw,2225,2264
173,white,1449,1629
171,white,1894,1946
171,white,1500,1500
170,black,1819,1889
170,draw,2149,1757
170,black,1569,1366
170,black,2060,1779
170,black,1551,1574
170,black,1827,1924
169,white,1784,1972
169,draw,1604,1681
168,black,1843,1818
168,black,2143,2032
168,black,2188,2168
168,black,1705,1679
168,black,1542,1578
168,black,1841,1914
167,white,1012,1164
167,white,1400,1412
166,black,2267,1500
166,black,1562,1539
165,draw,1539,1920
165,white,1869,1724
165,draw,1578,1829
165,white,2104,1818
164,draw,1801,1858
164,black,1484,1663
164,black,1750,1804
164,draw,1862,1698
164,black,1817,1863
164,black,1558,1583
164,black,2239,2241
163,draw,972,1247
162,black,1006,1228
162,black,1807,1786
161,draw,1459,1462
161,white,1960,1868
161,white,1596,1589
161,white,1859,2004
160,black,1651,1740
160,black,1336,1705
160,black,1935,1867
159,white,1722,1976
159,white,1364,1565
158,draw,1952,1907
158,black,1675,1597
158,black,1425,1492
158,draw,1804,1757
157,white,2162,2122
157,white,1440,1272
157,white,1692,1678
156,black,1610,1578
156,black,1847,1793
156,black,1802,1740
156,black,1568,2067
156,black,1971,1858
156,black,1265,1461
155,white,1832,1877
155,white,1471,1314
155,white,1517,1496
155,draw,1528,1530
155,white,1641,1628
155,white,1600,1723
154,black,1844,1713
154,black,1895,1977
154,black,1494,1640
154,black,1628,1856
154,black,1224,1530
154,black,1382,1605
154,black,1965,2087
154,black,1276,1480
154,draw,1554,1535
153,draw,1849,1919
153,draw,1628,1666
153,draw,1588,1631
152,black,1793,2015
152,black,1646,1679
152,black,1643,1660
152,black,1838,2053
152,black,1708,1726
152,draw,1850,1974
152,draw,1485,1661
151,white,1759,1767
151,white,1605,2114
151,white,1268,1312
151,white,1733,2016
151,white,1859,1954
151,white,1882,1848
151,white,1799,1500
151,white,1369,1395
151,white,2312,2277
150,black,1880,1972
150,black,1248,1239
150,draw,1057,1595
150,black,1609,1552
150,black,1651,1657
150,black,2160,2214
150,black,2150,1595
150,black,1972,1959
150,black,2513,2383
149,white,1937,1975
149,white,1421,1468
149,white,1743,1498
149,white,1894,1717
149,white,1874,1939
149,white,1644,1621
149,white,1783,1749
148,black,1500,1536
